importer,coal_T,gas_T,oil_T,growth_c,growth_g,growth_o
AUS,0.379689453,0.015638284,0.158829244,0.010140813,0.180901768,-0.006056385
AUT,0.169492233,0,0.207027666,-0.076811676,0.023722802,-0.228505742
BEL,0.071308821,0.016489199,0.116183029,0.040933326,0.053441807,0.022219267
BRA,0.090672896,0.978177976,0.125226606,-0.027030057,-0.115554039,0.029386124
CAN,0.000174243,0,0.074222982,0.246224461,0.000540991,0.027366188
CHL,0.234497644,0.520655817,0.198657094,-0.010263428,-0.043583208,-0.070870431
CHN,0.517479439,0.990967178,0.364248531,-0.087414503,-0.071430497,-0.051419746
DEU,0.079601464,0.017189585,0.089700584,0.016711991,0.020530705,-0.004022324
DNK,0.101095047,0.156401576,0.105487573,0.077837672,-0.086813148,-0.015470087
ESP,0.131199266,0.011902028,0.127355696,0.008719548,0.083712424,0.007801061
FIN,0.179296393,0.000378117,0.23110572,-0.025972552,0.295867242,-0.049758359
FRA,0.111374034,0.029034888,0.096304378,0.001129212,0.037910982,0.022389952
GBR,0.100479504,5.62E-05,0.048189644,0.040744922,0.293768682,0.047989089
GRC,0.246981636,0.5,0.247794262,-0.033309087,-0.053428962,-0.016997645
HUN,0.359031457,0.004373768,0.37881652,-0.02516626,0.144559876,-0.031577657
IDN,0.033952006,0,0.067892215,0.064083195,0,0.032260563
IND,0.78610389,0.5,0.239084389,-0.100293186,-0.031394005,-0.032506617
IRL,0.097120314,0.032477007,0.142240412,0.028812548,-0.112306925,0.036403977
ISL,0.142942098,0,0.5,-0.006625335,0.01635084,-0.213130344
ITA,0.05783098,0.128901221,0.098695168,0.049750113,-0.061647444,0.016076037
JPN,0.042256534,0.032137529,0.080142019,-0.00106423,0.027027295,-0.001880857
KOR,0.099733825,0.002760251,0.073077885,-0.018605545,0.182217327,0.016764495
MEX,0.609323401,0,0.353774613,-0.011250709,0.003611039,0.042229545
NLD,0.081725817,0.021313341,0.094437162,0.016663306,0.108544397,0.00659456
NZL,0.090570951,0.942181745,0.116752807,-0.035568472,-0.125645515,0.060001932
POL,0.99931222,0.013248555,0.25730547,-0.072358745,0.172512006,-0.05366907
PRT,0.094570198,0.979064843,0.111066108,0.015474625,-0.078195039,0.013546846
SGP,0.175613968,0.812045613,0.099394701,-0.016965394,-0.129748949,0.030350658
SWE,0.056498322,1,0.136371814,0.062239466,-0.105346296,-0.008957478
USA,0.099082357,0.009581419,0.048832559,0.021590125,0.00323201,0.011309271
ZAF,0.182141732,0.563585879,0,-0.00502229,0.023202508,0.003555563
